Source,Target,Type,Id,Label,Weight
23046,23236,Undirected,50268,,1
23046,23241,Undirected,50269,,1
23046,23321,Undirected,50368,,1
23046,23333,Undirected,50396,,1
23046,23338,Undirected,50397,,1
23046,23344,Undirected,50398,,1
23047,23048,Undirected,49862,,1
23047,23057,Undirected,49935,,1
23047,23137,Undirected,50045,,1
23047,23168,Undirected,50097,,1
23047,23171,Undirected,50098,,1
23047,23186,Undirected,50144,,1
23047,23194,Undirected,50145,,1
23047,23215,Undirected,50211,,1
23047,23251,Undirected,50270,,1
23047,23257,Undirected,50271,,1
23047,23302,Undirected,50369,,1
23047,23321,Undirected,50370,,1
23047,23328,Undirected,50399,,1
23047,23333,Undirected,50400,,1
23048,23132,Undirected,50046,,1
23048,23136,Undirected,50047,,1
23048,23137,Undirected,50048,,1
23048,23171,Undirected,50099,,1
23048,23179,Undirected,50146,,1
23048,23202,Undirected,50147,,1
23048,23208,Undirected,50212,,1
23048,23233,Undirected,50213,,1
23048,23251,Undirected,50272,,1
23048,23284,Undirected,50317,,1
23048,23294,Undirected,50371,,1
23048,23317,Undirected,50372,,1
23048,23321,Undirected,50373,,1
23048,23343,Undirected,50401,,1
23115,23224,Undirected,51119,,1
23123,23173,Undirected,51060,,1
23123,23179,Undirected,51100,,1
23123,23196,Undirected,51101,,1
23123,23241,Undirected,51166,,1
23123,23250,Undirected,51167,,1
23123,23255,Undirected,51168,,1
23123,23258,Undirected,51169,,1
23123,23259,Undirected,51170,,1
23123,23279,Undirected,51191,,1
23123,23287,Undirected,51192,,1
23123,23321,Undirected,51202,,1
23123,23333,Undirected,51220,,1
23123,23335,Undirected,51221,,1
23123,23344,Undirected,51222,,1
23132,23137,Undirected,51043,,1
23132,23179,Undirected,51104,,1
23132,23203,Undirected,51105,,1
23132,23208,Undirected,51143,,1
23132,23215,Undirected,51144,,1
23132,23236,Undirected,51174,,1
23132,23241,Undirected,51175,,1
23132,23258,Undirected,51176,,1
23132,23321,Undirected,51207,,1
23132,23333,Undirected,51226,,1
23136,23137,Undirected,51046,,1
23136,23171,Undirected,51071,,1
23136,23173,Undirected,51072,,1
23136,23179,Undirected,51110,,1
23136,23203,Undirected,51111,,1
23136,23233,Undirected,51149,,1
23136,23333,Undirected,51227,,1
23136,23344,Undirected,51228,,1
23137,23171,Undirected,51073,,1
23137,23173,Undirected,51074,,1
23137,23179,Undirected,51112,,1
23137,23222,Undirected,51150,,1
23137,23233,Undirected,51151,,1
23137,23241,Undirected,51179,,1
23137,23317,Undirected,51209,,1
23137,23321,Undirected,51210,,1
23137,23333,Undirected,51229,,1
23137,23344,Undirected,51230,,1
23150,23173,Undirected,51240,,1
23150,23222,Undirected,51291,,1
23150,23241,Undirected,51343,,1
23171,23179,Undirected,51275,,1
23171,23208,Undirected,51332,,1
23171,23221,Undirected,51333,,1
23171,23233,Undirected,51334,,1
23171,23244,Undirected,51363,,1
23171,23266,Undirected,51392,,1
23171,23317,Undirected,51414,,1
23171,23321,Undirected,51415,,1
23173,23178,Undirected,51277,,1
23173,23179,Undirected,51278,,1
23173,23202,Undirected,51279,,1
23173,23222,Undirected,51338,,1
23173,23233,Undirected,51339,,1
23173,23241,Undirected,51366,,1
23173,23255,Undirected,51367,,1
23173,23258,Undirected,51368,,1
23173,23259,Undirected,51369,,1
23173,23287,Undirected,51394,,1
23173,23321,Undirected,51418,,1
23173,23333,Undirected,51444,,1
23173,23344,Undirected,51445,,1
23176,23233,Undirected,51464,,1
23176,23300,Undirected,51575,,1
23176,23317,Undirected,51576,,1
23176,23321,Undirected,51577,,1
23178,23258,Undirected,51508,,1
23178,23287,Undirected,51544,,1
23178,23321,Undirected,51578,,1
23178,23333,Undirected,51601,,1
23179,23202,Undirected,51451,,1
23179,23215,Undirected,51465,,1
23179,23233,Undirected,51466,,1
23179,23236,Undirected,51509,,1
23179,23241,Undirected,51510,,1
23179,23250,Undirected,51511,,1
23179,23258,Undirected,51512,,1
23179,23279,Undirected,51545,,1
23179,23287,Undirected,51546,,1
23179,23290,Undirected,51547,,1
23179,23317,Undirected,51579,,1
23179,23321,Undirected,51580,,1
23179,23333,Undirected,51602,,1
23179,23344,Undirected,51603,,1
23196,23222,Undirected,51492,,1
23196,23241,Undirected,51529,,1
23196,23251,Undirected,51530,,1
23196,23255,Undirected,51531,,1
23196,23258,Undirected,51532,,1
23196,23287,Undirected,51565,,1
23196,23300,Undirected,51594,,1
23196,23321,Undirected,51595,,1
23196,23335,Undirected,51617,,1
23196,23344,Undirected,51618,,1
23202,23215,Undirected,51502,,1
23202,23220,Undirected,51503,,1
23202,23250,Undirected,51540,,1
23202,23290,Undirected,51569,,1
23202,23300,Undirected,51596,,1
23202,23321,Undirected,51597,,1
23202,23333,Undirected,51624,,1
23202,23344,Undirected,51625,,1
23203,23208,Undirected,51504,,1
23203,23215,Undirected,51505,,1
23203,23321,Undirected,51598,,1
23208,23215,Undirected,51631,,1
23208,23222,Undirected,51632,,1
23208,23317,Undirected,51727,,1
23208,23321,Undirected,51728,,1
23215,23258,Undirected,51669,,1
23215,23321,Undirected,51736,,1
23215,23333,Undirected,51767,,1
23220,23222,Undirected,51649,,1
23220,23251,Undirected,51677,,1
23220,23300,Undirected,51739,,1
23222,23241,Undirected,51680,,1
23224,23299,Undirected,51745,,1
23233,23241,Undirected,51692,,1
23233,23279,Undirected,51721,,1
23233,23317,Undirected,51756,,1
23233,23333,Undirected,51787,,1
23233,23344,Undirected,51788,,1
23236,23258,Undirected,51790,,1
23236,23321,Undirected,51827,,1
23241,23250,Undirected,51793,,1
23241,23255,Undirected,51794,,1
23241,23258,Undirected,51795,,1
23241,23279,Undirected,51806,,1
23241,23287,Undirected,51807,,1
23241,23321,Undirected,51830,,1
23241,23335,Undirected,51852,,1
23241,23344,Undirected,51853,,1
23250,23255,Undirected,51799,,1
23250,23344,Undirected,51859,,1
23255,23344,Undirected,51866,,1
23258,23259,Undirected,51802,,1
23258,23279,Undirected,51822,,1
23258,23287,Undirected,51823,,1
23258,23321,Undirected,51848,,1
23258,23333,Undirected,51870,,1
23258,23344,Undirected,51871,,1
23259,23279,Undirected,51824,,1
23259,23290,Undirected,51825,,1
23259,23333,Undirected,51872,,1
23279,23287,Undirected,51884,,1
23279,23321,Undirected,51908,,1
23279,23333,Undirected,51940,,1
23279,23344,Undirected,51941,,1
23284,23321,Undirected,51919,,1
23287,23300,Undirected,51924,,1
23287,23321,Undirected,51925,,1
23287,23333,Undirected,51956,,1
23287,23335,Undirected,51957,,1
23287,23344,Undirected,51958,,1
23290,23300,Undirected,51931,,1
23290,23326,Undirected,51963,,1
23290,23333,Undirected,51964,,1
23300,23321,Undirected,51975,,1
23300,23333,Undirected,51987,,1
23300,23335,Undirected,51988,,1
23321,23333,Undirected,52015,,1
23321,23335,Undirected,52016,,1
23321,23338,Undirected,52017,,1
23321,23344,Undirected,52018,,1
23326,23333,Undirected,52024,,1
23326,23344,Undirected,52025,,1
23333,23338,Undirected,52028,,1
23333,23344,Undirected,52029,,1
22964,22971,Undirected,48437,,1
22964,22980,Undirected,48438,,1
22964,22981,Undirected,48439,,1
22964,22982,Undirected,48440,,1
22964,22984,Undirected,48441,,1
22964,22985,Undirected,48442,,1
22964,22986,Undirected,48443,,1
22964,22988,Undirected,48444,,1
22964,22993,Undirected,48445,,1
22964,22996,Undirected,48488,,1
22964,22997,Undirected,48489,,1
22964,23000,Undirected,48490,,1
22964,23002,Undirected,48491,,1
22964,23007,Undirected,48492,,1
22964,23034,Undirected,48566,,1
22964,23037,Undirected,48567,,1
22964,23040,Undirected,48568,,1
22964,23041,Undirected,48569,,1
22964,23052,Undirected,48570,,1
22964,23064,Undirected,48619,,1
22964,23065,Undirected,48620,,1
22964,23066,Undirected,48621,,1
22964,23068,Undirected,48622,,1
22964,23070,Undirected,48623,,1
22964,23071,Undirected,48624,,1
22964,23085,Undirected,48672,,1
22964,23100,Undirected,48673,,1
22964,23106,Undirected,48674,,1
22964,23130,Undirected,48726,,1
22964,23143,Undirected,48727,,1
22964,23152,Undirected,48755,,1
22964,23153,Undirected,48756,,1
22964,23154,Undirected,48757,,1
22964,23168,Undirected,48758,,1
22964,23183,Undirected,48788,,1
22964,23189,Undirected,48789,,1
22964,23193,Undirected,48790,,1
22964,23212,Undirected,48831,,1
22964,23216,Undirected,48832,,1
22964,23221,Undirected,48833,,1
22964,23224,Undirected,48834,,1
22964,23228,Undirected,48835,,1
22964,23240,Undirected,48878,,1
22964,23254,Undirected,48879,,1
22964,23266,Undirected,48915,,1
22964,23268,Undirected,48916,,1
22964,23288,Undirected,48917,,1
22964,23303,Undirected,48945,,1
22965,22977,Undirected,48446,,1
22965,22984,Undirected,48447,,1
22965,22993,Undirected,48448,,1
22965,22994,Undirected,48493,,1
22965,22996,Undirected,48494,,1
22965,23000,Undirected,48495,,1
22965,23132,Undirected,48728,,1
22965,23155,Undirected,48759,,1
22965,23156,Undirected,48760,,1
22965,23175,Undirected,48791,,1
22965,23193,Undirected,48792,,1
22965,23204,Undirected,48836,,1
22965,23212,Undirected,48837,,1
22965,23288,Undirected,48918,,1
22965,23289,Undirected,48919,,1
22965,23325,Undirected,48959,,1
22965,23330,Undirected,48960,,1
22966,23035,Undirected,48571,,1
22966,23100,Undirected,48675,,1
22966,23185,Undirected,48793,,1
22966,23269,Undirected,48920,,1
22971,22973,Undirected,48457,,1
22971,22982,Undirected,48458,,1
22971,22985,Undirected,48459,,1
22971,22996,Undirected,48501,,1
