Id,Label,sex,agerank,wallcount,locale,modularityclass,origin,modularity_class,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
23288,Todd,male,64,172,en_US,5,research,20,32,5,0.419976,0.475024,464.715619
23289,"Erin ",female,63,25,en_US,5,research,23,21,5,0.391256,0.43873,105.233506
23292,Bradley,male,60,95,en_US,5,research,20,8,5,0.347956,0.381805,15.949442
23296,Gary,male,56,157,en_US,5,research,20,6,5,0.345887,0.377173,1.150379
23297,George,male,55,168,en_US,5,UMich,20,5,5,0.341822,0.364756,180.704895
23299,Peter,male,53,231,en_US,5,UMich,20,23,5,0.412043,0.457593,654.063153
23302,"Andrea ",female,50,72,en_US,5,research,20,11,5,0.347956,0.379561,61.325857
23306,Jesse,male,46,24,en_US,5,research,20,17,5,0.366597,0.406686,170.655551
23319,"Christine ",female,33,57,en_US,5,research,20,10,6,0.310222,0.337966,0.35604
23327,Douglas,male,25,20,en_US,5,research,20,14,6,0.330492,0.365521,12.43699
23328,Shane,male,24,189,en_US,5,research,20,22,6,0.368922,0.414613,416.003263
22979,Juan,male,373,306,en_US,8,HP Labs,20,2,6,0.290833,0.306447,25.98712
23044,Samuel,male,308,192,en_US,8,Caltech,19,20,6,0.34082,0.382521,464.536845
23045,Larry,male,307,960,en_US,8,Caltech,19,17,6,0.343504,0.38042,716.213216
23046,Craig,male,306,90,fr_FR,8,Caltech,19,13,6,0.303478,0.337727,75.385171
23047,Jamie,male,305,246,en_US,8,Caltech,19,17,6,0.395243,0.43405,1376.53488
23048,Jacob,male,304,169,en_US,8,Caltech,19,16,6,0.336548,0.375358,836.506281
23115,Corey,male,237,714,en_US,8,Caltech,20,3,6,0.310775,0.326886,22.320096
23123,"Sara ",female,229,108,en_US,8,Caltech,19,15,7,0.287243,0.32441,48.023477
23132,"Carrie ",female,220,326,en_US,8,Caltech,19,14,6,0.329556,0.36404,388.40675
23136,Raymond,male,216,32,en_US,8,Caltech,19,9,7,0.313849,0.343226,23.784276
23137,Dennis,male,215,86,en_US,8,Caltech,19,16,6,0.355036,0.391882,182.913708
23150,Jerry,male,202,,en_US,8,Caltech,19,5,6,0.315837,0.341738,0
23171,Frank,male,181,309,en_US,8,Caltech,19,18,6,0.393018,0.432378,1427.25125
23173,Phillip,male,179,113,en_US,8,Caltech,19,19,6,0.336224,0.377507,424.826417
23176,Carlos,male,176,,en_US,8,Caltech,19,4,7,0.272019,0.294276,4.876991
23178,Antonio,male,174,53,en_US,8,Caltech,19,5,7,0.281452,0.305881,0
23179,Joel,male,173,180,en_US,8,Caltech,19,24,6,0.324349,0.370344,287.899922
23196,Troy,male,156,306,en_US,8,Caltech,19,12,6,0.303742,0.338252,203.68746
23202,"Jaime ",female,150,173,en_US,8,Caltech,19,14,7,0.297782,0.334534,84.137367
23203,Marcus,male,149,214,en_US,8,Caltech,19,9,6,0.315266,0.345702,183.905623
23208,Terry,male,144,1,en_US,8,Caltech,19,10,6,0.309947,0.34064,40.11218
23215,"April ",female,137,358,en_US,8,Caltech,19,10,6,0.314698,0.344604,37.826882
23220,Jeffery,male,132,,en_US,8,Caltech,19,6,6,0.316697,0.343266,167.829826
23222,Nicholas,male,130,398,en_US,8,Caltech,19,9,6,0.324953,0.355731,104.208028
23224,"Karen ",female,128,136,en_US,8,Caltech,20,6,5,0.364301,0.391882,321.575663
23233,"Tiffany ",female,119,68,en_US,8,Caltech,19,13,6,0.344181,0.378701,234.466111
23236,Brent,male,116,10,en_US,8,Caltech,19,6,6,0.272019,0.297135,0.165
23241,Randy,male,111,204,en_US,8,Caltech,19,20,6,0.326473,0.371585,380.832841
23250,"Danielle ",female,102,158,en_US,8,Caltech,19,7,7,0.264795,0.291363,1.574967
23255,Kyle,male,97,69,en_US,8,Caltech,19,7,7,0.265198,0.290074,1.539361
23258,"Maria ",female,94,,en_US,8,Caltech,19,17,6,0.299057,0.337822,57.202165
23259,"Dawn ",female,93,52,en_US,8,Caltech,19,7,7,0.278309,0.304257,2.668386
23279,Gabriel,male,73,28,en_US,8,Caltech,19,13,6,0.335255,0.369866,179.491709
23284,"Crystal ",female,68,22,en_US,8,Caltech,19,2,7,0.263396,0.283245,0
23287,Dustin,male,65,88,en_US,8,Caltech,19,14,7,0.287243,0.323455,28.540256
23290,Cory,male,62,15,en_US,8,other,19,7,6,0.319597,0.350716,224.571778
23294,"Tracy ",female,58,24,en_US,8,Caltech,19,1,7,0.251986,0.26653,0
23300,"Stacy ",female,52,277,en_US,8,Caltech,19,9,7,0.275454,0.306358,62.013675
23317,Derek,male,35,8,en_US,8,Caltech,19,8,6,0.324048,0.350191,146.248279
23321,"Wendy ",female,31,655,en_US,8,Caltech,19,29,6,0.336873,0.387345,889.396133
23326,"Susan ",female,26,123,en_US,8,other,19,3,7,0.276326,0.296139,0.474118
23333,"Tammy ",female,19,31,en_US,8,Caltech,19,26,6,0.353597,0.402627,2005.10853
23335,"Tara ",female,17,96,en_US,8,Caltech,19,7,6,0.301903,0.330134,80.097562
23338,Billy,male,14,59,en_US,8,Caltech,19,3,7,0.268462,0.290551,0
23344,Tony,male,8,93,en_US,8,Caltech,19,21,6,0.339494,0.382999,544.45268
22964,Russell,male,388,277,en_US,0,research,23,48,5,0.457405,0.519771,981.063292
22965,Rodney,male,387,939,en_US,0,research,23,17,5,0.396591,0.43467,537.499398
22966,"Patricia ",female,386,813,en_US,0,research,23,4,6,0.339164,0.363801,4.896844
22971,Philip,male,381,539,en_US,0,research,23,41,5,0.445153,0.501385,527.40475
22982,Jared,male,370,566,en_US,0,research,23,46,5,0.450323,0.510458,270.740599
22984,Derrick,male,368,339,en_US,0,research,23,18,4,0.40676,0.448424,648.166866
22985,Johnny,male,367,618,en_US,0,research,23,18,5,0.388641,0.432856,13.037606
22993,"Cynthia ",female,359,506,en_US,0,research,23,43,4,0.443456,0.502627,496.555422
22994,Jeremiah,male,358,107,en_US,0,research,23,23,5,0.399771,0.444222,279.356279
22996,"Monica ",female,356,335,en_US,0,research,23,46,4,0.456209,0.514565,1320.446208
23000,Erik,male,352,255,en_US,0,research,23,89,4,0.489481,0.581423,3073.953498
23002,Carl,male,350,617,en_US,0,research,23,36,5,0.429274,0.486103,85.547243
23037,"Misty ",female,315,400,en_US,0,research,23,43,5,0.43408,0.497087,219.093077
23040,Zachary,male,312,764,en_US,0,UMich,23,78,4,0.480055,0.563276,987.48487
23041,Bobby,male,311,238,en_US,0,UMich,23,16,5,0.389075,0.430229,26.57586
23050,Shannon,male,302,825,en_US,0,research,23,30,5,0.43354,0.48085,174.732886
23051,Marc,male,301,25,en_US,0,research,23,32,4,0.410106,0.467049,119.368071
23052,"Lori ",female,300,352,en_US,0,research,23,40,5,0.435705,0.494699,336.858394
23065,Victor,male,287,21,en_US,0,research,23,39,5,0.433002,0.492311,80.841674
23068,"Tina ",female,284,202,en_US,0,research,23,42,4,0.438442,0.498567,247.890861
23069,"Amber ",female,283,493,en_GB,0,research,23,34,5,0.422518,0.478558,47.70666
23070,Jimmy,male,282,60,en_US,0,research,23,30,5,0.413507,0.469245,76.636218
23071,Danny,male,281,233,en_US,0,research,23,53,5,0.462865,0.526457,646.718232
23079,Roger,male,273,21,en_US,0,research,23,5,5,0.35217,0.385626,19.527254
23087,Damon,male,265,124,en_US,0,research,23,1,5,0.289386,0.303916,0
23090,Vincent,male,262,76,ru_RU,0,research,23,6,5,0.357949,0.388013,9.284683
23100,"Emily ",female,252,977,en_US,0,research,23,45,5,0.44801,0.509742,527.089043
23106,Curtis,male,246,233,en_US,0,research,23,32,5,0.430333,0.479895,169.740103
23121,"Stacey ",female,231,272,en_US,0,research,23,27,5,0.408187,0.458023,97.258732
23125,"Jill ",female,227,695,en_US,0,research,23,14,5,0.382675,0.421156,4.891523
23127,Brad,male,225,109,en_US,0,research,23,2,5,0.295013,0.310697,0
23130,"Melanie ",female,222,189,en_US,0,research,23,31,5,0.450323,0.495177,929.519703
23152,Alexander,male,200,103,en_US,0,research,23,43,5,0.440101,0.50234,137.491214
23153,Brett,male,199,220,en_US,0,research,23,43,5,0.435705,0.49852,692.949235
